date,total_click,total_cart,total_fav,total_order,content_id_hashed
2025-06-30,0.00011401991511121506,3.353526915035737e-06,1.4372258207296014e-05,9.581505471530676e-07,caf9228a3c5c8d13
2025-06-30,1.916301094306135e-06,0.0,0.0,0.0,351d178f1567ebb0
2025-06-28,8.144279650801075e-06,0.0,9.581505471530676e-07,0.0,de124335a4ec02e2
2025-07-03,1.916301094306135e-06,0.0,4.790752735765338e-07,0.0,c38da9ee0d8c5a93
2025-07-04,4.0721398254005375e-05,9.581505471530676e-07,6.707053830071474e-06,9.581505471530676e-07,623730ad5fe077c0
2025-06-26,7.66520437722454e-06,0.0,1.4372258207296016e-06,0.0,5e26c2d5280b7f0d
2025-06-22,4.790752735765338e-05,4.790752735765338e-07,2.3953763678826692e-06,0.0,796faaf4253441a8
2025-06-26,1.533040875444908e-05,1.4372258207296016e-06,1.916301094306135e-06,0.0,ede30f2682338d7f
2025-06-16,0.00031044077727759395,1.1018731292260278e-05,6.80286888478678e-05,3.353526915035737e-06,b1cae2342700ad30
2025-06-10,4.790752735765338e-07,0.0,4.790752735765338e-07,0.0,32a2f0482df68174
2025-06-24,3.83260218861227e-06,9.581505471530676e-07,0.0,4.790752735765338e-07,52695cb689a17d1c
2025-06-20,4.790752735765338e-07,0.0,0.0,0.0,c545d2cdcf5f9a72
2025-06-24,4.790752735765338e-07,0.0,0.0,0.0,132584a97f5f011e
2025-06-10,1.916301094306135e-06,0.0,0.0,0.0,5ba79149b4607fdc
2025-06-27,1.724670984875522e-05,0.0,9.581505471530676e-07,0.0,eaff5adf6c3a0acc
2025-06-23,1.916301094306135e-06,0.0,0.0,0.0,27035e86ca0fdecf
2025-07-05,8.862892561165876e-05,7.186129103648007e-06,1.3414107660142947e-05,2.3953763678826692e-06,747f1bc61bd9cf5d
2025-07-02,4.838660263122992e-05,2.8744516414592032e-06,2.8744516414592032e-06,1.4372258207296016e-06,b09c553b6e9a6285
2025-06-30,7.66520437722454e-06,0.0,0.0,0.0,6fb84430ff83c95c
2025-06-14,1.4372258207296016e-06,0.0,4.790752735765338e-07,0.0,153c427d5f5783f5
2025-06-13,4.311677462188805e-05,0.0,2.3953763678826692e-06,0.0,e8ed0be6ceb9da2a
2025-06-11,0.00014036905515792442,1.245595711298988e-05,2.6828215320285895e-05,2.3953763678826692e-06,43cc6d6f29e4010c
2025-07-01,4.311677462188805e-05,4.7907527357653384e-06,7.186129103648007e-06,9.581505471530676e-07,7174733b70ab0fc7
2025-07-03,1.4372258207296016e-06,0.0,0.0,0.0,a30ae2fe09a6a398
2025-07-04,1.916301094306135e-06,0.0,4.790752735765338e-07,0.0,10fb26ac6c92cc0f
2025-06-15,1.4372258207296016e-06,0.0,9.581505471530676e-07,0.0,edaadbb4fa25d354
2025-06-13,1.916301094306135e-06,0.0,0.0,0.0,9f1be02b29743cb2
2025-06-16,7.665204377224541e-05,5.269828009341872e-06,1.2935032386566415e-05,0.0,b4bbd2193c1bb3c6
2025-07-01,1.724670984875522e-05,4.790752735765338e-07,9.581505471530676e-07,4.790752735765338e-07,47b19c30e27cdb03
2025-06-27,2.8744516414592032e-06,0.0,0.0,0.0,4c623ff4fefd3af4
2025-06-22,2.8744516414592032e-06,4.790752735765338e-07,4.790752735765338e-07,0.0,df0bb85b56721d4d
