ts_hour,total_click,total_cart,total_fav,total_order,user_id_hashed,content_id_hashed
2025-07-08 16:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,f7ee5ff004fa281e,149b530e3368040e
2025-06-24 22:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,ff03fd695bcffe20,faf48e2e62756ae9
2025-06-19 21:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,ef90243ef48c01aa,22ddccbfb349f635
2025-06-19 12:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,1c6951280c53e463,08ca34e08c4b2bee
2025-07-04 15:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,66b4e4da87a8fe92,4c57f65969d4a125
2025-06-28 14:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,8ca17aa1da0c5207,3f77c20b8d8bf0f1
2025-07-01 13:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,2eebc870ffb3a5ec,d247f33e0e2cbc6b
2025-07-10 12:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,3ff50d5f85c4d371,d68e32e4dae205ec
2025-07-04 02:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,1ffea9e496d61f86,7d4e4c6c5cb26409
2025-06-16 22:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,a549791b0fa15dec,34b1817fd13b9aec
2025-06-10 19:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,c4ad4d7324f624f4,6a34cd6e6d62726a
2025-06-08 01:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,db494f8f50c02780,30230b157b5b46be
2025-07-06 22:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,524c6233797b16ca,935b92cbf9a5406b
2025-07-03 22:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,36a29d5934a95783,d30ed8bca2fd66e1
2025-07-01 20:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,ef032b2f3788d0c4,a1b65a63248158a1
2025-07-10 15:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,194ca74fe9141fd2,b3b60bd7e51b2a3b
2025-06-15 23:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,679aeaa0e9ebf478,a301858932958065
2025-06-24 22:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,3e8d5df405312b5e,f65d6318197a9b3c
2025-07-03 10:00:00+00:00,4.790752735765338e-07,0.0,0.0,0.0,0640059b30a1f9af,59e16f408a72c4ba
