date,total_search_impression,total_search_click,content_id_hashed
2025-06-15,5.892625864991366e-05,4.790752735765338e-07,8e61a30fa370af02
2025-06-30,1.4372258207296016e-06,0.0,22b7d2a132d9332b
2025-06-19,0.00014659703371441935,3.83260218861227e-06,c0236381c4dfc7f5
2025-07-07,2.4432838952403227e-05,0.0,b36bcbd981cabfcd
2025-06-30,6.22797855649494e-06,0.0,c76ff84c6c16d786
2025-07-07,4.7907527357653384e-06,0.0,4a47041a98854833
2025-06-16,4.120047352758191e-05,1.916301094306135e-06,5913433a988cf43e
2025-06-14,4.311677462188805e-06,0.0,72281137ffbae11e
2025-06-09,0.0021088893542839018,7.090314048932701e-05,09e0cb35c428bff2
2025-07-06,1.7725785122331752e-05,4.790752735765338e-07,0d6f8141a4c33c1c
2025-06-09,5.509365646130139e-05,0.0,c69270b96b17a104
2025-06-24,1.1497806565836813e-05,0.0,07351254c0af60e5
2025-06-13,3.066081750889816e-05,4.790752735765338e-07,95894d0a92a0d27c
2025-07-05,0.0002816962608630019,1.1018731292260278e-05,fddfa759badadae1
2025-07-02,8.144279650801075e-06,0.0,47d1e90d38949f47
2025-07-06,3.736787133896964e-05,0.0,1d1ea6a946f0eb0d
2025-06-22,1.533040875444908e-05,0.0,b9079d7163d7fe59
2025-06-13,2.3953763678826692e-06,0.0,778b6ea6345884e6
2025-06-18,4.982382845195952e-05,1.4372258207296016e-06,0d8ed677e5c9b747
2025-07-04,0.0006429190171397084,1.0060580745107211e-05,3ae4f44b2ade118c
2025-06-13,2.8744516414592032e-06,0.0,8e904d3e98397df6
2025-06-24,8.144279650801075e-05,4.311677462188805e-06,f9afb82d7dcba6b2
2025-06-11,0.0004694937681050032,9.102430197954142e-06,53344e1f5d8409b1
2025-06-21,0.00010731286128114358,2.8744516414592032e-06,934f26cc03f65707
2025-07-02,4.8865677904806455e-05,9.581505471530676e-07,f5c3837d88351936
2025-06-27,0.0001724670984875522,9.581505471530676e-07,3864d77b75bf0c9a
2025-06-15,0.0025903600042283185,3.3535269150357366e-05,4b68da4fedcb97bb
2025-06-24,1.1976881839413346e-05,0.0,1abd0c96800df634
2025-06-15,1.0060580745107211e-05,0.0,0ea7072d4940e631
2025-06-15,3.449341969751044e-05,0.0,c0529ddae853fd74
2025-06-24,2.3953763678826692e-06,0.0,37bd2b73893da011
2025-06-27,4.7907527357653384e-06,0.0,b606e070fd685100
2025-06-16,6.22797855649494e-06,0.0,b17dd81e0ac16f39
2025-06-22,1.0539656018683744e-05,0.0,3f0b20a9fdc6f94f
2025-07-06,2.251653785809709e-05,4.790752735765338e-07,afb10e6fe0f55d02
2025-06-21,9.581505471530677e-06,0.0,f087cb84ace69db9
2025-07-03,8.62335492437761e-06,4.790752735765338e-07,246b0d9b79b38576
2025-06-16,7.713111904582195e-05,9.581505471530676e-07,bf4b45f1cae42805
2025-07-05,2.5390989499556293e-05,4.790752735765338e-07,f5510568115b30be
2025-06-27,2.9702666961745098e-05,0.0,41c4a2271de41e50
2025-06-26,3.497249497108697e-05,4.790752735765338e-07,87018735303a1260
2025-07-09,4.0721398254005375e-05,4.790752735765338e-07,68b4558a8e1483e8
2025-06-25,5.0302903725536056e-05,9.581505471530676e-07,1b5cf04ac8e27ed8
2025-06-24,5.4135505914148325e-05,4.790752735765338e-07,410e95a96ddb516b
2025-06-20,6.419608665925553e-05,4.790752735765338e-07,ce68c66be5586480
2025-06-17,9.581505471530676e-07,0.0,bfacdfafea855043
2025-06-25,6.22797855649494e-05,4.790752735765338e-07,af349d76997e6674
2025-06-24,1.2935032386566415e-05,0.0,6d1aad82354f5f15
2025-06-17,8.000557068728115e-05,0.0,bbb31148d1835f46
2025-07-02,6.707053830071473e-05,9.581505471530676e-07,7ed158e9a3a4fc37
2025-07-09,9.581505471530676e-07,0.0,ddb844f7d9b7102c
2025-06-23,3.11398927824747e-05,0.0,48f70b21569be434
