ts_hour,search_term_normalized,clicked,ordered,added_to_cart,added_to_fav,user_id_hashed,content_id_hashed,session_id
2025-07-10 17:00:00+00:00,a_elbise_kesim,1,0,0,0,1be4d2dad45a5e01,ae9b536d26e602f4,train_4fd3705b497bbe4f
2025-07-10 17:00:00+00:00,a_elbise_kesim,0,0,0,0,1be4d2dad45a5e01,91b8a11e4c8e0ded,train_4fd3705b497bbe4f
2025-07-10 17:00:00+00:00,a_elbise_kesim,0,0,0,0,1be4d2dad45a5e01,1a78e29f4bcc58b0,train_4fd3705b497bbe4f
2025-07-10 17:00:00+00:00,a_elbise_kesim,0,0,0,0,1be4d2dad45a5e01,604a4c8b13d798a4,train_4fd3705b497bbe4f
2025-07-10 17:00:00+00:00,a_elbise_kesim,0,0,0,0,1be4d2dad45a5e01,038680d15f693ae2,train_4fd3705b497bbe4f
2025-07-10 17:00:00+00:00,a_elbise_kesim,0,0,0,0,1be4d2dad45a5e01,972474c123473e31,train_4fd3705b497bbe4f
2025-07-10 17:00:00+00:00,a_elbise_kesim,0,0,0,0,1be4d2dad45a5e01,23d8292a116c917d,train_4fd3705b497bbe4f
2025-07-10 17:00:00+00:00,a_elbise_kesim,0,0,0,0,1be4d2dad45a5e01,25d5135a665b677e,train_4fd3705b497bbe4f
2025-07-10 17:00:00+00:00,a_elbise_kesim,0,0,0,0,1be4d2dad45a5e01,f5555ba9d47e8e21,train_4fd3705b497bbe4f
2025-07-10 17:00:00+00:00,a_elbise_kesim,0,0,0,0,1be4d2dad45a5e01,728d00c5ede0e1ac,train_4fd3705b497bbe4f
2025-07-10 17:00:00+00:00,a_elbise_kesim,0,0,0,0,1be4d2dad45a5e01,841dffd599ffdaad,train_4fd3705b497bbe4f
2025-07-10 17:00:00+00:00,a_elbise_kesim,0,0,0,0,1be4d2dad45a5e01,14e6061e74c6ee22,train_4fd3705b497bbe4f
