ts_hour,search_term_normalized,total_search_impression,total_search_click,user_id_hashed
2025-07-03 15:00:00+00:00,charm,9.581505471530676e-07,0.0,f668fdfd9727298b
2025-06-13 17:00:00+00:00,crop,8.479632342304649e-05,6.707053830071474e-06,fbcc84aea3aea934
2025-07-06 17:00:00+00:00,charm,0.00010683378600756704,1.4372258207296016e-06,1465154818329e8c
2025-07-01 11:00:00+00:00,cantasi_omuz,1.4372258207296014e-05,9.581505471530676e-07,c554233d8e1613b6
2025-06-27 00:00:00+00:00,kot_pantolon,2.8744516414592032e-06,0.0,600d0775c15f6f28
2025-06-14 11:00:00+00:00,giyim_plaj,1.9163010943061354e-05,9.581505471530676e-07,375df8b1ca4c88fc
2025-06-30 12:00:00+00:00,alt_takim_ust,5.0781978999112586e-05,0.0,be3d0f738944bb3f
2025-07-11 13:00:00+00:00,bikini,3.736787133896964e-05,1.916301094306135e-06,33b01bbc0db7afa0
2025-06-26 19:00:00+00:00,etek_kadin,5.174012954626566e-05,3.353526915035737e-06,2c43c2db5c81fd8c
2025-06-18 16:00:00+00:00,giyim_tesettur,2.2995613131673626e-05,0.0,c76db0987fd1b95a
2025-06-23 01:00:00+00:00,elbise_mini,6.850776412144434e-05,0.0,51bc79734e37250f
2025-06-11 20:00:00+00:00,giyim_plaj,3.736787133896964e-05,9.581505471530676e-07,1ca89bc9706db58d
2025-07-02 15:00:00+00:00,takim,1.9163010943061354e-05,9.581505471530676e-07,6b83366af35a9f0c
2025-06-17 13:00:00+00:00,keten_pantolon,1.1497806565836813e-05,2.3953763678826692e-06,7e4a546ba3138599
2025-07-06 16:00:00+00:00,elbise,2.7307290593862427e-05,1.4372258207296016e-06,7268361d504a5234
2025-07-11 12:00:00+00:00,ayakkabi_kadin_topuklu,4.8865677904806455e-05,9.581505471530676e-07,163c38c82fa7171c
2025-06-28 13:00:00+00:00,elbise,1.916301094306135e-06,4.790752735765338e-07,2fcb46b6660df6f7
2025-07-06 12:00:00+00:00,elbise_gunluk,9.19824525266945e-05,1.916301094306135e-06,2226669d179194b7
2025-07-04 01:00:00+00:00,elbise,5.0781978999112586e-05,9.581505471530676e-07,a314fdcd7244c075
2025-07-10 17:00:00+00:00,canta,2.6349140046709362e-05,0.0,f2a171e1275b1eef
2025-07-06 19:00:00+00:00,elbise_tesettur,0.0002701984542971651,2.3953763678826692e-06,1ec5e3830674aa7e
2025-07-05 15:00:00+00:00,sapka,0.0001413272057050775,2.8744516414592032e-06,1220e72a06753b4c
2025-07-05 09:00:00+00:00,tisort,9.581505471530677e-06,0.0,05da1685fbad40b6
2025-07-09 01:00:00+00:00,mucevher_taki,7.617296849866888e-05,3.353526915035737e-06,d5f4152bbd914b08
2025-06-28 15:00:00+00:00,gozlugu_gunes,0.00019498363634564927,3.83260218861227e-06,8088fcc59a5ab7af
2025-07-07 17:00:00+00:00,giyim_kadin,0.00020216976544929727,1.4372258207296016e-06,2a2b719dc529e671
2025-07-08 10:00:00+00:00,elbise,2.1079312037367488e-05,0.0,e78c2f8cfd440dd6
2025-07-03 23:00:00+00:00,erkek_sneaker,0.00039236264905918123,1.1497806565836813e-05,0693493faec70b03
2025-07-04 23:00:00+00:00,hasema,3.83260218861227e-06,0.0,0f7eab48309ee793
2025-07-03 14:00:00+00:00,erkek_sneaker,1.916301094306135e-06,0.0,1a49bca1adfe9b70
2025-07-05 23:00:00+00:00,abiye,3.8805097159699244e-05,9.581505471530676e-07,367224546602c663
2025-07-01 20:00:00+00:00,etek,1.916301094306135e-06,0.0,9fda499c55204e8b
2025-06-29 15:00:00+00:00,etek,3.449341969751044e-05,9.581505471530676e-07,6f040608d77c4143
2025-06-28 14:00:00+00:00,abiye_elbise,0.0006601657269884637,9.102430197954142e-06,1185447c42cd5157
2025-06-15 16:00:00+00:00,erkek_tshirt,2.6349140046709362e-05,1.916301094306135e-06,673a28e416cbfda3
2025-06-27 13:00:00+00:00,cocuk_kiz_tisort,9.581505471530677e-06,4.790752735765338e-07,2f05777b8e24f099
2025-06-27 20:00:00+00:00,crop_gomlek,3.2098043329627765e-05,0.0,f54ce0648d097dcc
2025-06-28 00:00:00+00:00,shirt_t,5.7489032829184065e-06,0.0,85d8f1b08ba0b4ee
2025-07-03 17:00:00+00:00,elbise_kadin,3.832602188612271e-05,4.790752735765338e-07,f634dbbc99c48d12
2025-06-13 23:00:00+00:00,terlik,2.6349140046709362e-05,9.581505471530676e-07,f21f00ea40417e75
2025-06-25 14:00:00+00:00,ayakkabi_kadin_topuklu,8.91080008852353e-05,4.790752735765338e-07,5b33beba51e86bac
2025-06-22 20:00:00+00:00,shirt_t,7.569389322509234e-05,0.0,368269f7895f543e
2025-06-27 00:00:00+00:00,giyim_tesettur,0.00020073253962856768,0.0,d64df3134a98f2ca
2025-06-23 20:00:00+00:00,elbise,1.916301094306135e-06,0.0,93244715f4393bc4
2025-06-27 12:00:00+00:00,elbise,8.62335492437761e-05,3.83260218861227e-06,285765405f61b126
2025-07-08 20:00:00+00:00,sandalet,3.83260218861227e-06,0.0,1b1d7723e96c04b2
2025-07-07 17:00:00+00:00,elbise,1.724670984875522e-05,4.790752735765338e-07,93694c974f596549
2025-07-07 14:00:00+00:00,elbise,2.0121161490214423e-05,2.8744516414592032e-06,f0fafc0e71935314
2025-06-29 23:00:00+00:00,giyim_tesettur,3.83260218861227e-06,0.0,bbcfc0a7c6782b2d
2025-06-14 20:00:00+00:00,elbise,1.3414107660142947e-05,0.0,9df7cb1d0964fb19
2025-06-19 21:00:00+00:00,elbise,0.0001810904534119298,1.628855930160215e-05,41eaf3d3f69e7d9d
2025-06-18 23:00:00+00:00,erkek_sort,0.0002735519812122008,4.790752735765338e-07,cdf685d6a808da20
2025-06-22 17:00:00+00:00,mayo,2.0600236763790955e-05,4.790752735765338e-07,bc11d3090949866d
2025-06-14 09:00:00+00:00,kadin_kot_pantolon,4.647030153692378e-05,1.916301094306135e-06,61ac5adb75223054
2025-06-21 22:00:00+00:00,bayan_canta,0.00014228535625223054,3.353526915035737e-06,2c28b020344b67e5
2025-06-13 18:00:00+00:00,giyim_tesettur,3.1618968056051235e-05,9.581505471530676e-07,3efd5a6991187a13
2025-06-29 12:00:00+00:00,sapka,2.0600236763790955e-05,0.0,da072ca68ab2b0e8
2025-06-16 07:00:00+00:00,abiye_tesettur,0.00027546828230650696,2.8744516414592032e-06,a83814361d738788
2025-06-27 10:00:00+00:00,bluz,2.7307290593862427e-05,4.311677462188805e-06,d42e01fe3138fe7a
2025-06-23 16:00:00+00:00,crop,1.628855930160215e-05,0.0,e3399f3f4d06658e
2025-06-30 11:00:00+00:00,sutyen,6.707053830071474e-06,0.0,cec59be07c603712
2025-06-21 02:00:00+00:00,erkek_kapri,1.245595711298988e-05,0.0,157f49b258bd132b
2025-07-09 22:00:00+00:00,cantasi_omuz,2.0121161490214423e-05,4.790752735765338e-07,b78ad46577c9a38c
2025-07-01 23:00:00+00:00,gomlek,3.11398927824747e-05,1.916301094306135e-06,85f18e6ae2e43a03
2025-06-19 16:00:00+00:00,abiye,5.892625864991366e-05,9.581505471530676e-07,5146bdfc9267994e
2025-06-21 17:00:00+00:00,bikini,0.00019929531380783808,1.916301094306135e-06,94126454f504bbaa
2025-07-04 23:00:00+00:00,ayakkabi_klasik_topuklu,1.245595711298988e-05,0.0,c29f825acaf5a23c
2025-06-27 18:00:00+00:00,cantasi_plaj,2.1558387310944024e-05,2.8744516414592032e-06,b65330c7ddacf457
2025-07-10 02:00:00+00:00,canta,5.7489032829184065e-06,0.0,0677c9ae91ea4fff
2025-07-06 15:00:00+00:00,tesbih,9.006615143238836e-05,4.790752735765338e-07,f2ac5a027417920d
2025-07-07 00:00:00+00:00,elbise,1.1497806565836813e-05,0.0,64177da7ff299d16
2025-06-22 15:00:00+00:00,abiye_elbise_kadin_tesettur,0.0001868393566948482,5.7489032829184065e-06,c569f4a1de7b750b
2025-06-23 23:00:00+00:00,bluz,1.0539656018683744e-05,9.581505471530676e-07,b2b0a5fadbafa1a5
2025-07-08 16:00:00+00:00,giyim_tesettur,0.00013653645296931213,2.8744516414592032e-06,539e5ed995be1cb2
2025-06-27 10:00:00+00:00,pantolon,1.916301094306135e-06,0.0,29e4744ff6cae84d
2025-07-09 18:00:00+00:00,ayakkabi_erkek_spor,6.132163501779633e-05,0.0,31176b478019eccb
2025-07-02 18:00:00+00:00,mont,9.533597944173023e-05,1.4372258207296016e-06,be85a754ebffb226
2025-07-11 15:00:00+00:00,beden_buyuk_elbise,4.0242322980428845e-05,4.790752735765338e-07,bf2a270bb5d20b96
2025-06-17 01:00:00+00:00,etek,0.00022756075494885356,5.269828009341872e-06,b70c06f20f04dc48
2025-06-28 13:00:00+00:00,elbise_tesettur_yazlik,3.83260218861227e-06,4.790752735765338e-07,3270ec7cab12c7ba
2025-07-08 22:00:00+00:00,kadin_terlik,3.25771186032043e-05,0.0,8feae7fa2fd1b93b
2025-06-11 18:00:00+00:00,kadin_sandalet,6.707053830071474e-06,4.790752735765338e-07,29fda551cb0e4404
2025-06-11 11:00:00+00:00,bikini,5.174012954626566e-05,0.0,614549899d9511f4
2025-06-18 13:00:00+00:00,elbise_uzun,0.00018204860395908286,4.311677462188805e-06,27b867055881384f
2025-07-10 00:00:00+00:00,jean,9.246152780027103e-05,1.916301094306135e-06,f9b0c3bab998dc8b
2025-07-07 16:00:00+00:00,krampon,1.1976881839413346e-05,4.790752735765338e-07,49500c52fca27318
2025-06-25 16:00:00+00:00,bluz_kadin,5.221920481984219e-05,4.790752735765338e-07,84b05136f64b498e
2025-06-30 22:00:00+00:00,elbise,0.0005178803707362331,6.707053830071474e-06,469ac36bda7600b0
2025-06-28 18:00:00+00:00,kadin_tisort,2.7786365867438963e-05,0.0,98abb1ed99a08a3c
2025-07-10 15:00:00+00:00,mont,0.0002452865400711853,5.7489032829184065e-06,7db859eac8e388fe
2025-07-10 18:00:00+00:00,elbise_sari,8.62335492437761e-06,0.0,6799b989db7e3358
2025-06-09 03:00:00+00:00,elbise,4.167954880115845e-05,4.790752735765338e-07,2f34ff1f63f34830
2025-07-06 08:00:00+00:00,abiye_tesettur,0.00036505535846531877,4.790752735765338e-07,9214ea199277a7b8
2025-07-02 10:00:00+00:00,kadin,0.00028504978777803763,5.7489032829184065e-06,d10397e0ddbae26e
2025-07-09 19:00:00+00:00,mayo,1.533040875444908e-05,0.0,85260f08c568d9ca
2025-07-02 20:00:00+00:00,sandalet,0.00015809484028025616,2.8744516414592032e-06,b3e9d375af4df230
2025-07-10 12:00:00+00:00,erkek_oversize_tisort,0.00011881066784698039,1.3414107660142947e-05,0e0d38393c8bb5e1
2025-06-24 18:00:00+00:00,abiye_cocuk,9.150337725311797e-05,3.353526915035737e-06,862df243defa4aab
2025-06-23 21:00:00+00:00,tisort,1.4372258207296014e-05,9.581505471530676e-07,dfc25a198914a590
2025-06-15 12:00:00+00:00,elbise,1.3414107660142947e-05,0.0,dc74fa60d818bb54
